corrupted file!
s5p_l2_ch4_0017_04086.nc 2018-07-28 10:39:40
s5p_l2_ch4_0017_04087.nc 2018-07-28 12:21:10
corrupted file!
s5p_l2_ch4_0017_04100.nc 2018-07-29 10:20:35
s5p_l2_ch4_0017_04101.nc 2018-07-29 12:02:04
s5p_l2_ch4_0017_04102.nc 2018-07-29 13:43:34
s5p_l2_ch4_0017_04114.nc 2018-07-30 10:01:29
s5p_l2_ch4_0017_04115.nc 2018-07-30 11:42:59
s5p_l2_ch4_0017_04116.nc 2018-07-30 13:24:28
s5p_l2_ch4_0017_04129.nc 2018-07-31 11:23:54
s5p_l2_ch4_0017_04130.nc 2018-07-31 13:05:23
s5p_l2_ch4_0017_04131.nc 2018-07-31 14:46:53
s5p_l2_ch4_0017_04143.nc 2018-08-01 11:04:48
s5p_l2_ch4_0017_04144.nc 2018-08-01 12:46:18
s5p_l2_ch4_0017_04145.nc 2018-08-01 14:27:47
s5p_l2_ch4_0017_04157.nc 2018-08-02 10:45:43
s5p_l2_ch4_0017_04158.nc 2018-08-02 12:27:12
s5p_l2_ch4_0017_04159.nc 2018-08-02 14:08:41
s5p_l2_ch4_0017_04171.nc 2018-08-03 10:26:37
s5p_l2_ch4_0017_04172.nc 2018-08-03 12:08:07
s5p_l2_ch4_0017_04173.nc 2018-08-03 13:49:37
s5p_l2_ch4_0017_04185.nc 2018-08-04 10:07:31
s5p_l2_ch4_0017_04186.nc 2018-08-04 11:49:01
corrupted file!
s5p_l2_ch4_0017_04201.nc 2018-08-05 13:00:02
s5p_l2_ch4_0017_04202.nc 2018-08-05 14:52:54
s5p_l2_ch4_0017_04214.nc 2018-08-06 11:10:49
s5p_l2_ch4_0017_04215.nc 2018-08-06 12:52:20
s5p_l2_ch4_0017_04216.nc 2018-08-06 14:33:49
s5p_l2_ch4_0017_04228.nc 2018-08-07 10:45:37
s5p_l2_ch4_0017_04229.nc 2018-08-07 12:33:13
s5p_l2_ch4_0017_04230.nc 2018-08-07 14:14:43
s5p_l2_ch4_0017_04242.nc 2018-08-08 10:32:38
s5p_l2_ch4_0017_04243.nc 2018-08-08 12:08:00
s5p_l2_ch4_0017_04244.nc 2018-08-08 13:55:36
s5p_l2_ch4_0017_04256.nc 2018-08-09 10:13:32
s5p_l2_ch4_0017_04257.nc 2018-08-09 11:55:01
s5p_l2_ch4_0017_04258.nc 2018-08-09 13:30:24
s5p_l2_ch4_0017_04271.nc 2018-08-10 11:35:55
s5p_l2_ch4_0017_04272.nc 2018-08-10 13:17:24
s5p_l2_ch4_0017_04273.nc 2018-08-10 14:52:47
s5p_l2_ch4_0017_04299.nc 2018-08-12 10:57:43
s5p_l2_ch4_0017_04300.nc 2018-08-12 12:39:12
s5p_l2_ch4_0017_04301.nc 2018-08-12 14:20:42
s5p_l2_ch4_0017_04314.nc 2018-08-13 12:20:06
s5p_l2_ch4_0017_04315.nc 2018-08-13 14:01:36
s5p_l2_ch4_0017_04327.nc 2018-08-14 10:19:30
s5p_l2_ch4_0017_04328.nc 2018-08-14 12:01:00
s5p_l2_ch4_0017_04329.nc 2018-08-14 13:42:29
s5p_l2_ch4_0017_04341.nc 2018-08-15 10:00:24
s5p_l2_ch4_0017_04342.nc 2018-08-15 11:41:53
s5p_l2_ch4_0017_04343.nc 2018-08-15 13:23:22
s5p_l2_ch4_0017_04356.nc 2018-08-16 11:22:47
s5p_l2_ch4_0017_04357.nc 2018-08-16 13:04:17
s5p_l2_ch4_0017_04358.nc 2018-08-16 14:33:53
s5p_l2_ch4_0017_04370.nc 2018-08-17 11:03:40
